PMID            | GT    | Pred  | TP   
28353042        | 52    | 18    | 1    
28356035        | 36    | 5     | 1    
28356129        | 87    | 22    | 8    
28356622        | 69    | 14    | 1    
28358612        | 66    | 13    | 1    
28358712        | 80    | 15    | 3    
28360122        | 67    | 19    | 2    
28360979        | 29    | 6     | 1    
28362386        | 45    | 8     | 1    
28364409        | 87    | 16    | 5    
28364434        | 44    | 9     | 2    
28368267        | 34    | 4     | 0    
28373341        | 17    | 5     | 0    
28373959        | 33    | 10    | 1    
28375449        | 27    | 4     | 2    
28375566        | 60    | 15    | 0    
28375743        | 57    | 9     | 1    
28376393        | 72    | 10    | 0    
28377051        | 59    | 10    | 4    
28377738        | 56    | 3     | 1    
28380217        | 33    | 10    | 2    
28385178        | 79    | 11    | 3    
28386663        | 43    | 12    | 5    
28386950        | 80    | 19    | 4    
28387468        | 40    | 10    | 0    
28387835        | 46    | 10    | 4    
28389374        | 105   | 12    | 4    
28390176        | 65    | 11    | 1    
28391514        | 70    | 14    | 5    
28391546        | 91    | 15    | 0    
28391978        | 86    | 11    | 3    
28392427        | 88    | 17    | 4    
28394935        | 66    | 12    | 3    
28395912        | 59    | 18    | 4    
28397323        | 70    | 8     | 0    
28399452        | 58    | 9     | 1    
28399751        | 19    | 2     | 0    
28400033        | 55    | 5     | 2    
28400056        | 32    | 8     | 0    
28403387        | 113   | 15    | 5    
28407355        | 77    | 23    | 1    
28408723        | 60    | 15    | 1    
28409370        | 56    | 13    | 1    
28409651        | 42    | 3     | 0    
28412023        | 59    | 7     | 0    
28413509        | 53    | 10    | 2    
28413529        | 60    | 12    | 0    
28415987        | 29    | 8     | 2    
28418943        | 40    | 10    | 1    
28419641        | 60    | 10    | 0    
28421738        | 73    | 8     | 3    
28424061        | 74    | 16    | 0    
28424240        | 73    | 13    | 2    
28424384        | 40    | 5     | 4    
28424683        | 61    | 10    | 1    
28424986        | 43    | 9     | 1    
28425861        | 66    | 8     | 0    
28427273        | 71    | 14    | 0    
28427655        | 45    | 10    | 1    
28429500        | 46    | 15    | 2    
28433448        | 49    | 8     | 4    
28433910        | 41    | 8     | 3    
28436264        | 38    | 5     | 1    
28436493        | 66    | 20    | 1    
28436593        | 50    | 6     | 2    
28437231        | 92    | 27    | 8    
28437254        | 49    | 6     | 0    
28438037        | 69    | 8     | 0    
28438542        | 50    | 5     | 2    
28440108        | 53    | 12    | 4    
28440461        | 70    | 24    | 2    
28441489        | 93    | 19    | 0    
28442401        | 57    | 10    | 5    
28442859        | 40    | 9     | 2    
28444830        | 46    | 11    | 1    
28445938        | 64    | 16    | 3    
28447586        | 28    | 9     | 2    
