PMID            | GT    | Pred  | TP   
28316382        | 49    | 8     | 2    
28319502        | 30    | 13    | 2    
28322666        | 60    | 5     | 0    
28326653        | 72    | 10    | 3    
28326936        | 76    | 19    | 0    
28327105        | 65    | 19    | 10   
28328236        | 43    | 10    | 2    
28330678        | 75    | 10    | 3    
28331620        | 43    | 12    | 2    
28332776        | 60    | 13    | 4    
28334564        | 71    | 14    | 1    
28334615        | 41    | 11    | 1    
28334854        | 44    | 17    | 3    
28336141        | 24    | 6     | 0    
28336597        | 33    | 12    | 2    
28338247        | 54    | 12    | 0    
28338634        | 70    | 18    | 2    
28339345        | 43    | 18    | 6    
28339928        | 52    | 10    | 3    
28342945        | 47    | 15    | 6    
28343001        | 36    | 7     | 1    
28343423        | 63    | 8     | 1    
28343993        | 49    | 16    | 5    
28344199        | 44    | 12    | 3    
28348382        | 44    | 12    | 1    
28351424        | 75    | 15    | 0    
28351716        | 58    | 24    | 3    
28352958        | 45    | 7     | 1    
28353042        | 52    | 23    | 0    
28356035        | 36    | 7     | 1    
28356129        | 87    | 28    | 4    
28356622        | 69    | 15    | 1    
28358612        | 66    | 16    | 2    
28358712        | 80    | 17    | 5    
28360122        | 67    | 22    | 3    
28360979        | 29    | 5     | 1    
28362386        | 45    | 14    | 2    
28364409        | 87    | 29    | 7    
28364434        | 44    | 8     | 3    
28368267        | 34    | 4     | 0    
28373341        | 17    | 4     | 0    
28373959        | 33    | 8     | 1    
28375449        | 27    | 8     | 1    
28375566        | 60    | 15    | 0    
28375743        | 57    | 13    | 1    
28376393        | 72    | 13    | 0    
28377051        | 59    | 17    | 4    
28377738        | 56    | 4     | 1    
28380217        | 33    | 9     | 3    
28385178        | 79    | 17    | 1    
28386663        | 43    | 12    | 8    
28386950        | 80    | 19    | 4    
28387468        | 40    | 12    | 2    
28387835        | 46    | 14    | 3    
28389374        | 105   | 22    | 11   
28390176        | 65    | 12    | 3    
28391514        | 70    | 29    | 8    
28391546        | 91    | 11    | 0    
28391978        | 86    | 16    | 4    
28392427        | 88    | 16    | 6    
28394935        | 66    | 13    | 8    
28395912        | 59    | 10    | 1    
28397323        | 70    | 14    | 1    
28399452        | 58    | 7     | 4    
28399751        | 19    | 2     | 0    
28400033        | 55    | 7     | 0    
28400056        | 32    | 8     | 1    
28403387        | 113   | 19    | 6    
28407355        | 77    | 23    | 2    
28408723        | 60    | 14    | 4    
28409370        | 56    | 10    | 6    
28409651        | 42    | 5     | 0    
28412023        | 59    | 26    | 0    
28413509        | 53    | 12    | 4    
28413529        | 60    | 17    | 1    
28415987        | 29    | 8     | 4    
28418943        | 40    | 13    | 1    
28419641        | 60    | 22    | 0    
28421738        | 73    | 17    | 5    
28424061        | 74    | 15    | 0    
28424240        | 73    | 22    | 5    
28424384        | 40    | 11    | 4    
28424683        | 61    | 11    | 2    
28424986        | 43    | 12    | 2    
28425861        | 66    | 9     | 1    
28427273        | 71    | 11    | 5    
28427655        | 45    | 10    | 2    
28429500        | 46    | 18    | 3    
28433448        | 49    | 11    | 2    
28433910        | 41    | 9     | 2    
28436264        | 38    | 5     | 1    
28436493        | 66    | 26    | 6    
28436593        | 50    | 10    | 2    
28437231        | 92    | 29    | 7    
28437254        | 49    | 7     | 0    
28438037        | 69    | 8     | 0    
28438542        | 50    | 7     | 2    
